firm_id,year,industry,region,size,base_prod,policy_eligible,post,treated,employment,capital,log_prod,output,wage,exports,profits
F001,2015,Manufacturing,North,medium,-0.06981412590931069,1,0,0,121,27909.136487019176,-0.07894284636618229,222293.4720785126,24.81417494945016,52701.613907626386,29618.73761502735
F001,2016,Manufacturing,North,medium,-0.06981412590931069,1,0,0,66,24670.510016205462,0.06139212164696415,206940.12683735008,28.569679582900392,67888.31816552486,40969.049152044834
F001,2017,Manufacturing,North,medium,-0.06981412590931069,1,0,0,63,25840.972379297862,-0.08383362185380955,198409.1340757929,23.23455226362552,53250.206775624545,13339.78387684067
F001,2018,Manufacturing,North,medium,-0.06981412590931069,1,0,0,93,18628.598472832637,0.10590223487994385,189172.75129260574,32.60208473147134,34236.18683878634,8904.317233746988
F001,2019,Manufacturing,North,medium,-0.06981412590931069,1,0,0,61,58269.07660681661,-0.10964023095610617,203147.5019307704,30.954188466100376,81000.33899851829,11090.269282539077
F001,2020,Manufacturing,North,medium,-0.06981412590931069,1,1,1,70,33964.441006692745,-0.04639381782864917,180094.59557898215,27.66671020209273,40803.97303961275,24416.82195503583
F001,2021,Manufacturing,North,medium,-0.06981412590931069,1,1,1,102,33672.91710799522,-0.047647962090039075,196623.33093335474,26.934729945223044,41105.07779720305,19488.269336081405
F001,2022,Manufacturing,North,medium,-0.06981412590931069,1,1,1,67,27162.232375010055,0.10851225114995383,322184.2750915163,23.908608863423083,74870.38286341078,28578.849190506062
F001,2023,Manufacturing,North,medium,-0.06981412590931069,1,1,1,45,27057.491013298448,0.06871694097235312,170467.46215940916,21.75518417872259,30776.64658434166,17595.787132095895
F001,2024,Manufacturing,North,medium,-0.06981412590931069,1,1,1,98,32445.152754320556,0.110468552523289,306596.06568754953,33.164561287306114,17792.627830654943,33290.280535424696
F002,2015,Manufacturing,East,medium,0.2741283607779331,1,0,0,49,29793.043327489664,0.351468724229582,199936.66427348,24.012155099295867,42149.374617254354,25899.270489960458
F002,2016,Manufacturing,East,medium,0.2741283607779331,1,0,0,53,33630.68087470858,0.3935172570899937,342460.0220197716,35.61892872916344,132580.3868617117,41610.50987781764
F002,2017,Manufacturing,East,medium,0.2741283607779331,1,0,0,32,21903.490453454026,0.25578773849661945,140379.37813306518,29.475435649881288,15340.073863982967,22585.7671394792
F002,2018,Manufacturing,East,medium,0.2741283607779331,1,0,0,103,39935.891870104795,0.43631789221062056,579952.0151729517,27.00787054775457,134169.40294646999,60252.44843454418
F002,2019,Manufacturing,East,medium,0.2741283607779331,1,0,0,86,15280.19341019124,0.30246549726687433,244917.86765521552,28.929670333393847,91336.73062290261,11245.288607074895
F002,2020,Manufacturing,East,medium,0.2741283607779331,1,1,1,92,48489.55367588901,0.3774710928044502,387530.41959309217,NA,119383.37456360411,55929.56340351139
F002,2021,Manufacturing,East,medium,0.2741283607779331,1,1,1,103,24865.67977798098,0.30562782595734,394942.8262065403,28.35381581743439,90095.64795091707,33588.65624259236
F002,2022,Manufacturing,East,medium,0.2741283607779331,1,1,1,79,27514.630352652846,0.3407846585436908,368027.24425026885,31.31702246529259,76454.82864667286,62317.26673105557
F002,2023,Manufacturing,East,medium,0.2741283607779331,1,1,1,57,25075.44480084371,0.4267165793302517,239537.15366286642,28.771475216074098,69387.63370628782,36137.95505730441
F002,2024,Manufacturing,East,medium,0.2741283607779331,1,1,1,95,19052.084491430673,0.4616855683049602,291082.1882774102,31.769434854377735,95838.77419302695,61488.3519591045
F003,2015,Manufacturing,East,small,0.11050327204470285,1,0,0,44,21736.09348793604,0.03212885722751421,200042.29819335032,26.09262854495251,45010.27564663335,3505.2870929578453
F003,2016,Manufacturing,East,small,0.11050327204470285,1,0,0,19,43510.48228789834,0.20891756811923548,161973.82647012288,29.371040798150414,15211.287788953461,22448.10153551381
F003,2017,Manufacturing,East,small,0.11050327204470285,1,0,0,25,52885.60629605838,0.23247936122622626,195460.2069917056,29.42745212194537,35611.71724426857,14580.96481613289
F003,2018,Manufacturing,East,small,0.11050327204470285,1,0,0,27,17679.103577489008,-0.014524232950326899,122569.37899252043,27.915943916096655,30079.19810944488,9742.879898454705
F003,2019,Manufacturing,East,small,0.11050327204470285,1,0,0,20,28979.30049899747,0.09343974299476226,94705.22272066755,22.66588879717318,15839.036810625634,10686.229651247095
F003,2020,Manufacturing,East,small,0.11050327204470285,1,1,1,37,21201.573154112004,0.29809395920127474,242434.81875821837,31.55498850338874,15807.360411688958,43013.97824704458
F003,2021,Manufacturing,East,small,0.11050327204470285,1,1,1,25,26412.977175866334,0.32783820807722763,208826.21061729072,29.038492767589524,33077.61633428971,14104.34865608247
F003,2022,Manufacturing,East,small,0.11050327204470285,1,1,1,44,28911.31730261184,0.27626479456904085,244448.31798789703,32.17527752792405,37244.84639521405,14920.159808265418
F003,2023,Manufacturing,East,small,0.11050327204470285,1,1,1,30,21351.30950095179,0.2615133157418147,232643.51166804886,28.860481767677033,91863.51468241915,19613.63255515984
F003,2024,Manufacturing,East,small,0.11050327204470285,1,1,1,37,28298.255987396995,0.2854641371305312,166796.12239145502,32.193893455468064,16139.627692100285,26680.884149718826
F004,2015,Manufacturing,South,medium,0.060254073506528096,0,0,0,128,45881.912210555434,0.096234981351448,398198.5738451069,29.08550585511112,44177.00452437248,59558.2689119149
F004,2016,Manufacturing,South,medium,0.060254073506528096,0,0,0,87,17530.05554353284,0.08553195626981715,242390.6000892825,34.21332913718096,62132.19343681403,18626.037208708018
F004,2017,Manufacturing,South,medium,0.060254073506528096,0,0,0,111,22264.574645184137,0.34416518514627614,466768.9698414726,31.113538155822678,158826.34414154507,91720.09163795013
F004,2018,Manufacturing,South,medium,0.060254073506528096,0,0,0,85,28396.55419866562,0.030044601458003604,256866.60437351538,28.863690597082215,93821.0853792091,16120.14232864184
F004,2019,Manufacturing,South,medium,0.060254073506528096,0,0,0,51,29164.286386547155,0.045982781222707984,163157.1814132044,29.145247232877384,34481.38797075893,6055.596179433844
F004,2020,Manufacturing,South,medium,0.060254073506528096,0,1,0,81,26203.665080648305,0.164335875661448,183090.8162978702,30.453441320802803,19596.662993691556,32473.605496883607
F004,2021,Manufacturing,South,medium,0.060254073506528096,0,1,0,99,28892.054649339225,0.20959996241522863,256355.2211290545,30.119139609082218,21231.175912662464,33044.094771664255
F004,2022,Manufacturing,South,medium,0.060254073506528096,0,1,0,93,24158.70427284729,0.13836624083050741,254066.99767216388,27.5748311721046,35307.581035305586,3326.791563452924
F004,2023,Manufacturing,South,medium,0.060254073506528096,0,1,0,76,27350.606478065434,0.14597499297480454,202017.05913981237,31.303267043620572,60669.55522238283,35167.23073497295
F004,2024,Manufacturing,South,medium,0.060254073506528096,0,1,0,56,24983.11505087479,0.13912184344875653,172376.29398946304,26.57105420602941,55915.5730313031,11574.4983446212
